date," ""spi1""",
9/1/2005," ""0","81"""
10/1/2005," ""-0","32"""
11/1/2005," ""-0","67"""
12/1/2005," ""0","28"""
1/1/2006," ""-0","97"""
2/1/2006," ""-0","77"""
3/1/2006," ""-0","97"""
4/1/2006," ""-0","81"""
5/1/2006," ""0","5"""
6/1/2006," ""0","32"""
7/1/2006," ""9999""",
8/1/2006," ""1","38"""
9/1/2006," ""0","81"""
10/1/2006," ""0","11"""
11/1/2006," ""-0","6"""
12/1/2006," ""-0","81"""
1/1/2007," ""-0","67"""
2/1/2007," ""0","49"""
3/1/2007," ""-0","97"""
4/1/2007," ""-0","81"""
5/1/2007," ""-0","43"""
6/1/2007," ""0","32"""
7/1/2007," ""9999""",
8/1/2007," ""1","38"""
9/1/2007," ""0","81"""
10/1/2007," ""0","84"""
11/1/2007," ""-0","44"""
12/1/2007," ""0","17"""
1/1/2008," ""0","68"""
2/1/2008," ""-0","97"""
3/1/2008," ""-0","97"""
4/1/2008," ""-0","81"""
5/1/2008," ""0","15"""
6/1/2008," ""0","32"""
7/1/2008," ""9999""",
8/1/2008," ""1","38"""
9/1/2008," ""0","81"""
10/1/2008," ""-0","32"""
11/1/2008," ""1","26"""
12/1/2008," ""0","1"""
1/1/2009," ""0","03"""
2/1/2009," ""-0","97"""
3/1/2009," ""-0","81"""
4/1/2009," ""-0","64"""
5/1/2009," ""0","24"""
6/1/2009," ""0","73"""
7/1/2009," ""9999""",
8/1/2009," ""1","38"""
9/1/2009," ""0","9"""
10/1/2009," ""1","34"""
11/1/2009," ""-0","31"""
12/1/2009," ""0","34"""
1/1/2010," ""-0","97"""
2/1/2010," ""-0","97"""
3/1/2010," ""-0","97"""
4/1/2010," ""1","38"""
5/1/2010," ""-0","01"""
6/1/2010," ""0","32"""
7/1/2010," ""9999""",
8/1/2010," ""1","38"""
9/1/2010," ""0","81"""
10/1/2010," ""0","63"""
11/1/2010," ""-0","67"""
12/1/2010," ""1","99"""
1/1/2011," ""0","28"""
2/1/2011," ""0","08"""
3/1/2011," ""0","79"""
4/1/2011," ""-0","54"""
5/1/2011," ""0","22"""
6/1/2011," ""1","42"""
7/1/2011," ""9999""",
8/1/2011," ""1","38"""
9/1/2011," ""0","81"""
10/1/2011," ""-0","32"""
11/1/2011," ""0","11"""
12/1/2011," ""-0","81"""
1/1/2012," ""-0","51"""
2/1/2012," ""-0","56"""
3/1/2012," ""0","37"""
4/1/2012," ""1","97"""
5/1/2012," ""-0","43"""
6/1/2012," ""1","04"""
7/1/2012," ""9999""",
8/1/2012," ""1","38"""
9/1/2012," ""0","81"""
10/1/2012," ""-0","25"""
11/1/2012," ""-0","25"""
12/1/2012," ""0","38"""
1/1/2013," ""-0","67"""
2/1/2013," ""0","1"""
3/1/2013," ""-0","42"""
4/1/2013," ""-0","81"""
5/1/2013," ""1","45"""
6/1/2013," ""0","32"""
7/1/2013," ""9999""",
8/1/2013," ""1","48"""
9/1/2013," ""0","81"""
10/1/2013," ""-0","18"""
11/1/2013," ""0","48"""
12/1/2013," ""-0","62"""
1/1/2014," ""-0","53"""
2/1/2014," ""0","22"""
3/1/2014," ""0","28"""
4/1/2014," ""-0","12"""
5/1/2014," ""-0","35"""
6/1/2014," ""0","32"""
7/1/2014," ""9999""",
8/1/2014," ""1","38"""
9/1/2014," ""1""",
10/1/2014," ""-0","32"""
11/1/2014," ""0","77"""
12/1/2014," ""0","76"""
1/1/2015," ""-0","85"""
2/1/2015," ""0","42"""
3/1/2015," ""-0","88"""
4/1/2015," ""-0","2"""
5/1/2015," ""-0","43"""
6/1/2015," ""0","38"""
7/1/2015," ""9999""",
8/1/2015," ""1","38"""
9/1/2015," ""0","81"""
10/1/2015," ""1","18"""
11/1/2015," ""0","53"""
12/1/2015," ""0","31"""
1/1/2016," ""0","77"""
2/1/2016," ""-0","14"""
3/1/2016," ""0","61"""
4/1/2016," ""-0","09"""
5/1/2016," ""0","07"""
6/1/2016," ""0","46"""
7/1/2016," ""9999""",
8/1/2016," ""1","38"""
9/1/2016," ""0","81"""
10/1/2016," ""0","69"""
11/1/2016," ""-0","56"""
12/1/2016," ""0","53"""
1/1/2017," ""1","7"""
2/1/2017," ""1","07"""
3/1/2017," ""0","62"""
4/1/2017," ""0","72"""
5/1/2017," ""-0","32"""
6/1/2017," ""0","48"""
7/1/2017," ""9999""",
8/1/2017," ""1","38"""
9/1/2017," ""1","11"""
10/1/2017," ""-0","13"""
11/1/2017," ""-0","21"""
12/1/2017," ""-0","75"""
1/1/2018," ""0","02"""
2/1/2018," ""-0","11"""
3/1/2018," ""1","26"""
4/1/2018," ""0","11"""
5/1/2018," ""-0","43"""
6/1/2018," ""0","32"""
7/1/2018," ""9999""",
8/1/2018," ""1","38"""
9/1/2018," ""0","81"""
10/1/2018," ""-0","32"""
11/1/2018," ""-0","67"""
12/1/2018," ""-0","81"""
